
Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
273.16000	0.00061165477	55.496955	0.018019007	-1.5169266e-12	1.1021410e-05	-5.3169446e-12	75.978165	76.022837	1402.2721	-0.24142135	1791.3579	0.55559854	0.075646271	liquid
273.78323	0.00063991746	55.499112	0.018018306	0.047367507	0.047379038	0.17320822	75.953412	75.984753	1405.3917	-0.24081370	1753.1229	0.55718473	0.075559081	liquid
274.40645	0.00066933117	55.500884	0.018017731	0.094711829	0.094723889	0.34593802	75.927912	75.948422	1408.4660	-0.24021394	1716.1773	0.55874926	0.075471661	liquid
275.02968	0.00069993645	55.502280	0.018017278	0.14203403	0.14204664	0.51819545	75.901686	75.913760	1411.4954	-0.23962182	1680.4624	0.56029275	0.075384010	liquid
275.65291	0.00073177435	55.503308	0.018016944	0.18933513	0.18934831	0.68998632	75.874755	75.880687	1414.4806	-0.23903712	1645.9229	0.56181576	0.075296129	liquid
276.27613	0.00076488710	55.503975	0.018016728	0.23661609	0.23662987	0.86131626	75.847136	75.849127	1417.4221	-0.23845961	1612.5066	0.56331883	0.075208019	liquid
276.89936	0.00079931909	55.504288	0.018016626	0.28387783	0.28389223	1.0321907	75.818850	75.819010	1420.3203	-0.23788908	1580.1643	0.56480251	0.075119679	liquid
277.52259	0.00083511483	55.504255	0.018016637	0.33112123	0.33113628	1.2026147	75.789912	75.790269	1423.1759	-0.23732532	1548.8492	0.56626729	0.075031110	liquid
278.14581	0.00087232030	55.503882	0.018016758	0.37834714	0.37836285	1.3725935	75.760341	75.762843	1425.9893	-0.23676814	1518.5174	0.56771365	0.074942311	liquid
278.76904	0.00091098302	55.503175	0.018016987	0.42555634	0.42557275	1.5421319	75.730152	75.736672	1428.7610	-0.23621733	1489.1271	0.56914206	0.074853285	liquid
279.39227	0.00095115176	55.502141	0.018017323	0.47274960	0.47276674	1.7112346	75.699359	75.711701	1431.4916	-0.23567272	1460.6388	0.57055296	0.074764030	liquid
280.01549	0.00099287700	55.500786	0.018017763	0.51992766	0.51994555	1.8799062	75.667979	75.687876	1434.1815	-0.23513412	1433.0149	0.57194678	0.074674546	liquid
280.63872	0.0010362090	55.499116	0.018018305	0.56709122	0.56710989	2.0481509	75.636024	75.665148	1436.8312	-0.23460136	1406.2200	0.57332393	0.074584835	liquid
281.26195	0.0010812013	55.497135	0.018018948	0.61424093	0.61426041	2.2159733	75.603509	75.643471	1439.4412	-0.23407428	1380.2204	0.57468480	0.074494897	liquid
281.88517	0.0011279081	55.494851	0.018019690	0.66137745	0.66139777	2.3833773	75.570445	75.622798	1442.0118	-0.23355271	1354.9841	0.57602976	0.074404731	liquid
282.50840	0.0011763845	55.492267	0.018020529	0.70850138	0.70852258	2.5503670	75.536845	75.603089	1444.5437	-0.23303650	1330.4808	0.57735919	0.074314338	liquid
283.13163	0.0012266876	55.489390	0.018021463	0.75561332	0.75563543	2.7169463	75.502721	75.584303	1447.0371	-0.23252550	1306.6815	0.57867342	0.074223719	liquid
283.75485	0.0012788759	55.486224	0.018022492	0.80271383	0.80273688	2.8831190	75.468084	75.566401	1449.4926	-0.23201956	1283.5588	0.57997279	0.074132873	liquid
284.37808	0.0013330098	55.482773	0.018023612	0.84980344	0.84982746	3.0488887	75.432943	75.549348	1451.9106	-0.23151855	1261.0867	0.58125762	0.074041801	liquid
285.00131	0.0013891504	55.479043	0.018024824	0.89688267	0.89690771	3.2142592	75.397311	75.533109	1454.2914	-0.23102233	1239.2403	0.58252821	0.073950504	liquid
285.62453	0.0014473607	55.475037	0.018026126	0.94395202	0.94397812	3.3792337	75.361195	75.517650	1456.6354	-0.23053077	1217.9959	0.58378487	0.073858981	liquid
286.24776	0.0015077056	55.470761	0.018027515	0.99101198	0.99103916	3.5438158	75.324607	75.502941	1458.9432	-0.23004374	1197.3310	0.58502788	0.073767232	liquid
286.87099	0.0015702515	55.466218	0.018028992	1.0380630	1.0380913	3.7080088	75.287553	75.488952	1461.2150	-0.22956113	1177.2242	0.58625752	0.073675259	liquid
287.49421	0.0016350661	55.461413	0.018030554	1.0851055	1.0851350	3.8718158	75.250044	75.475654	1463.4513	-0.22908280	1157.6550	0.58747403	0.073583061	liquid
288.11744	0.0017022190	55.456349	0.018032200	1.1321399	1.1321706	4.0352400	75.212088	75.463021	1465.6524	-0.22860866	1138.6039	0.58867769	0.073490638	liquid
288.74067	0.0017717816	55.451031	0.018033930	1.1791666	1.1791986	4.1982845	75.173691	75.451025	1467.8187	-0.22813859	1120.0521	0.58986873	0.073397992	liquid
289.36389	0.0018438269	55.445461	0.018035741	1.2261861	1.2262193	4.3609522	75.134863	75.439643	1469.9506	-0.22767248	1101.9820	0.59104738	0.073305121	liquid
289.98712	0.0019184297	55.439645	0.018037634	1.2731986	1.2732332	4.5232460	75.095611	75.428850	1472.0484	-0.22721023	1084.3765	0.59221388	0.073212027	liquid
290.61035	0.0019956669	55.433584	0.018039606	1.3202046	1.3202406	4.6851689	75.055940	75.418624	1474.1125	-0.22675175	1067.2195	0.59336843	0.073118710	liquid
291.23357	0.0020756162	55.427283	0.018041656	1.3672044	1.3672418	4.8467236	75.015860	75.408943	1476.1432	-0.22629692	1050.4953	0.59451125	0.073025170	liquid
291.85680	0.0021583588	55.420745	0.018043785	1.4141983	1.4142372	5.0079127	74.975375	75.399787	1478.1409	-0.22584567	1034.1892	0.59564255	0.072931408	liquid
292.48003	0.0022439760	55.413973	0.018045990	1.4611866	1.4612271	5.1687390	74.934493	75.391135	1480.1060	-0.22539789	1018.2869	0.59676250	0.072837423	liquid
293.10325	0.0023325527	55.406971	0.018048271	1.5081697	1.5082118	5.3292051	74.893219	75.382970	1482.0386	-0.22495350	1002.7748	0.59787130	0.072743216	liquid
293.72648	0.0024241740	55.399741	0.018050626	1.5551479	1.5551916	5.4893134	74.851561	75.375271	1483.9393	-0.22451241	987.63997	0.59896914	0.072648787	liquid
294.34971	0.0025189286	55.392286	0.018053055	1.6021213	1.6021668	5.6490666	74.809523	75.368023	1485.8082	-0.22407454	972.86989	0.60005618	0.072554136	liquid
294.97293	0.0026169061	55.384610	0.018055557	1.6490904	1.6491377	5.8084669	74.767111	75.361207	1487.6458	-0.22363981	958.45261	0.60113258	0.072459265	liquid
295.59616	0.0027181988	55.376714	0.018058132	1.6960554	1.6961045	5.9675169	74.724332	75.354810	1489.4523	-0.22320813	944.37669	0.60219852	0.072364173	liquid
296.21939	0.0028229005	55.368603	0.018060777	1.7430165	1.7430675	6.1262188	74.681190	75.348814	1491.2280	-0.22277944	930.63114	0.60325415	0.072268860	liquid
296.84261	0.0029311073	55.360278	0.018063493	1.7899740	1.7900269	6.2845749	74.637690	75.343205	1492.9733	-0.22235366	917.20543	0.60429961	0.072173326	liquid
297.46584	0.0030429181	55.351743	0.018066279	1.8369281	1.8369830	6.4425875	74.593839	75.337970	1494.6884	-0.22193071	904.08944	0.60533505	0.072077573	liquid
298.08907	0.0031584327	55.342999	0.018069133	1.8838790	1.8839361	6.6002588	74.549640	75.333095	1496.3737	-0.22151052	891.27347	0.60636061	0.071981600	liquid
298.71229	0.0032777542	55.334049	0.018072055	1.9308270	1.9308862	6.7575909	74.505100	75.328566	1498.0294	-0.22109302	878.74819	0.60737643	0.071885408	liquid
299.33552	0.0034009874	55.324896	0.018075045	1.9777722	1.9778337	6.9145860	74.460222	75.324372	1499.6558	-0.22067815	866.50467	0.60838263	0.071788997	liquid
299.95875	0.0035282391	55.315542	0.018078102	2.0247150	2.0247788	7.0712462	74.415013	75.320501	1501.2532	-0.22026584	854.53428	0.60937934	0.071692366	liquid
300.58197	0.0036596191	55.305989	0.018081224	2.0716554	2.0717216	7.2275734	74.369475	75.316940	1502.8219	-0.21985603	842.82875	0.61036668	0.071595518	liquid
301.20520	0.0037952391	55.296240	0.018084412	2.1185937	2.1186623	7.3835698	74.323615	75.313681	1504.3622	-0.21944864	831.38014	0.61134477	0.071498451	liquid
301.82843	0.0039352132	55.286296	0.018087665	2.1655300	2.1656012	7.5392372	74.277437	75.310711	1505.8743	-0.21904363	820.18079	0.61231372	0.071401166	liquid
302.45165	0.0040796574	55.276161	0.018090982	2.2124645	2.2125383	7.6945777	74.230945	75.308021	1507.3586	-0.21864093	809.22334	0.61327364	0.071303664	liquid
303.07488	0.0042286915	55.265835	0.018094362	2.2593975	2.2594740	7.8495931	74.184143	75.305601	1508.8152	-0.21824048	798.50070	0.61422463	0.071205944	liquid
303.69811	0.0043824361	55.255321	0.018097804	2.3063290	2.3064083	8.0042853	74.137037	75.303443	1510.2444	-0.21784223	788.00605	0.61516680	0.071108008	liquid
304.32133	0.0045410154	55.244622	0.018101310	2.3532592	2.3533414	8.1586562	74.089631	75.301537	1511.6465	-0.21744612	777.73282	0.61610025	0.071009854	liquid
304.94456	0.0047045556	55.233738	0.018104876	2.4001883	2.4002735	8.3127076	74.041928	75.299876	1513.0218	-0.21705209	767.67467	0.61702506	0.070911485	liquid
305.56779	0.0048731857	55.222673	0.018108504	2.4471164	2.4472046	8.4664413	73.993934	75.298450	1514.3705	-0.21666009	757.82551	0.61794133	0.070812899	liquid
306.19101	0.0050470370	55.211427	0.018112193	2.4940437	2.4941351	8.6198590	73.945652	75.297253	1515.6929	-0.21627007	748.17945	0.61884916	0.070714098	liquid
306.81424	0.0052262437	55.200002	0.018115941	2.5409703	2.5410650	8.7729625	73.897087	75.296277	1516.9892	-0.21588197	738.73082	0.61974862	0.070615081	liquid
307.43747	0.0054109425	55.188401	0.018119749	2.5878963	2.5879944	8.9257535	73.848243	75.295515	1518.2596	-0.21549575	729.47415	0.62063980	0.070515849	liquid
308.06069	0.0056012727	55.176625	0.018123617	2.6348219	2.6349234	9.0782337	73.799125	75.294961	1519.5044	-0.21511136	720.40417	0.62152279	0.070416402	liquid
308.68392	0.0057973767	55.164676	0.018127542	2.6817472	2.6818523	9.2304047	73.749735	75.294607	1520.7238	-0.21472874	711.51578	0.62239765	0.070316741	liquid
309.30715	0.0059993989	55.152556	0.018131526	2.7286723	2.7287811	9.3822683	73.700079	75.294449	1521.9181	-0.21434785	702.80405	0.62326446	0.070216865	liquid
309.93037	0.0062074875	55.140265	0.018135567	2.7755974	2.7757100	9.5338260	73.650161	75.294479	1523.0874	-0.21396865	694.26426	0.62412331	0.070116776	liquid
310.55360	0.0064217925	55.127806	0.018139666	2.8225225	2.8226390	9.6850794	73.599985	75.294694	1524.2321	-0.21359108	685.89180	0.62497425	0.070016472	liquid
311.17683	0.0066424674	55.115181	0.018143821	2.8694478	2.8695683	9.8360302	73.549554	75.295086	1525.3524	-0.21321510	677.68225	0.62581736	0.069915956	liquid
311.80005	0.0068696683	55.102390	0.018148033	2.9163734	2.9164981	9.9866798	73.498874	75.295652	1526.4484	-0.21284066	669.63133	0.62665270	0.069815227	liquid
312.42328	0.0071035543	55.089435	0.018152301	2.9632993	2.9634283	10.137030	73.447947	75.296386	1527.5204	-0.21246773	661.73489	0.62748034	0.069714285	liquid
313.04651	0.0073442874	55.076318	0.018156624	3.0102258	3.0103591	10.287082	73.396778	75.297285	1528.5687	-0.21209626	653.98895	0.62830035	0.069613131	liquid
313.66973	0.0075920326	55.063041	0.018161002	3.0571528	3.0572907	10.436837	73.345372	75.298342	1529.5933	-0.21172620	646.38962	0.62911277	0.069511764	liquid
314.29296	0.0078469578	55.049604	0.018165435	3.1040805	3.1042230	10.586297	73.293731	75.299556	1530.5946	-0.21135752	638.93317	0.62991768	0.069410186	liquid
314.91619	0.0081092345	55.036009	0.018169922	3.1510090	3.1511563	10.735464	73.241861	75.300921	1531.5727	-0.21099017	631.61597	0.63071512	0.069308397	liquid
315.53941	0.0083790363	55.022257	0.018174464	3.1979383	3.1980906	10.884339	73.189764	75.302434	1532.5279	-0.21062412	624.43452	0.63150516	0.069206397	liquid
316.16264	0.0086565403	55.008349	0.018179058	3.2448686	3.2450260	11.032923	73.137445	75.304092	1533.4604	-0.21025932	617.38543	0.63228785	0.069104185	liquid
316.78587	0.0089419275	54.994288	0.018183707	3.2918000	3.2919626	11.181217	73.084909	75.305890	1534.3703	-0.20989574	610.46540	0.63306324	0.069001764	liquid
317.40909	0.0092353810	54.980074	0.018188408	3.3387325	3.3389004	11.329224	73.032158	75.307827	1535.2579	-0.20953333	603.67127	0.63383138	0.068899132	liquid
318.03232	0.0095370876	54.965708	0.018193161	3.3856662	3.3858397	11.476944	72.979198	75.309899	1536.1233	-0.20917206	596.99994	0.63459232	0.068796291	liquid
318.65555	0.0098472374	54.951192	0.018197967	3.4326012	3.4327804	11.624379	72.926031	75.312103	1536.9668	-0.20881189	590.44843	0.63534611	0.068693240	liquid
319.27877	0.010166024	54.936527	0.018202825	3.4795376	3.4797226	11.771531	72.872662	75.314438	1537.7886	-0.20845279	584.01384	0.63609280	0.068589980	liquid
319.90200	0.010493643	54.921713	0.018207735	3.5264754	3.5266665	11.918399	72.819094	75.316899	1538.5888	-0.20809471	577.69338	0.63683243	0.068486511	liquid
320.52523	0.010830295	54.906753	0.018212696	3.5734148	3.5736121	12.064987	72.765332	75.319485	1539.3676	-0.20773762	571.48432	0.63756505	0.068382833	liquid
321.14845	0.011176183	54.891647	0.018217708	3.6203558	3.6205594	12.211296	72.711380	75.322194	1540.1252	-0.20738150	565.38402	0.63829070	0.068278948	liquid
321.77168	0.011531513	54.876396	0.018222771	3.6672985	3.6675086	12.357326	72.657241	75.325024	1540.8619	-0.20702629	559.38992	0.63900942	0.068174854	liquid
322.39491	0.011896497	54.861002	0.018227884	3.7142430	3.7144598	12.503078	72.602918	75.327973	1541.5777	-0.20667197	553.49955	0.63972126	0.068070553	liquid
323.01813	0.012271347	54.845466	0.018233048	3.7611892	3.7614130	12.648555	72.548417	75.331040	1542.2728	-0.20631850	547.71049	0.64042625	0.067966045	liquid
323.64136	0.012656281	54.829787	0.018238261	3.8081374	3.8083683	12.793758	72.493741	75.334221	1542.9475	-0.20596585	542.02041	0.64112443	0.067861330	liquid
324.26459	0.013051519	54.813969	0.018243525	3.8550876	3.8553257	12.938687	72.438894	75.337517	1543.6019	-0.20561398	536.42703	0.64181585	0.067756408	liquid
324.88781	0.013457285	54.798011	0.018248838	3.9020398	3.9022854	13.083344	72.383879	75.340926	1544.2362	-0.20526287	530.92816	0.64250053	0.067651281	liquid
325.51104	0.013873807	54.781914	0.018254200	3.9489941	3.9492474	13.227731	72.328700	75.344446	1544.8506	-0.20491248	525.52166	0.64317852	0.067545947	liquid
326.13427	0.014301316	54.765680	0.018259611	3.9959506	3.9962118	13.371848	72.273361	75.348077	1545.4451	-0.20456278	520.20544	0.64384985	0.067440408	liquid
326.75749	0.014740048	54.749310	0.018265070	4.0429094	4.0431786	13.515696	72.217866	75.351817	1546.0201	-0.20421373	514.97749	0.64451456	0.067334664	liquid
327.38072	0.015190240	54.732804	0.018270579	4.0898705	4.0901480	13.659278	72.162218	75.355665	1546.5755	-0.20386531	509.83584	0.64517267	0.067228714	liquid
328.00395	0.015652137	54.716163	0.018276135	4.1368339	4.1371200	13.802594	72.106422	75.359620	1547.1117	-0.20351749	504.77859	0.64582423	0.067122560	liquid
328.62717	0.016125983	54.699388	0.018281740	4.1837998	4.1840946	13.945646	72.050481	75.363683	1547.6288	-0.20317023	499.80389	0.64646927	0.067016202	liquid
329.25040	0.016612029	54.682480	0.018287393	4.2307682	4.2310720	14.088434	71.994398	75.367851	1548.1269	-0.20282350	494.90994	0.64710781	0.066909640	liquid
329.87363	0.017110528	54.665441	0.018293093	4.2777392	4.2780522	14.230959	71.938178	75.372125	1548.6062	-0.20247728	490.09497	0.64773989	0.066802875	liquid
330.49685	0.017621738	54.648270	0.018298841	4.3247128	4.3250353	14.373224	71.881823	75.376504	1549.0668	-0.20213153	485.35730	0.64836554	0.066695906	liquid
331.12008	0.018145921	54.630968	0.018304636	4.3716891	4.3720213	14.515229	71.825338	75.380987	1549.5089	-0.20178623	480.69526	0.64898478	0.066588735	liquid
331.74331	0.018683342	54.613537	0.018310479	4.4186682	4.4190103	14.656975	71.768727	75.385575	1549.9326	-0.20144135	476.10723	0.64959766	0.066481361	liquid
332.36653	0.019234271	54.595978	0.018316368	4.4656502	4.4660025	14.798464	71.711992	75.390267	1550.3382	-0.20109685	471.59166	0.65020419	0.066373784	liquid
332.98976	0.019798979	54.578290	0.018322304	4.5126350	4.5129977	14.939697	71.655137	75.395062	1550.7256	-0.20075272	467.14700	0.65080441	0.066266006	liquid
333.61299	0.020377746	54.560475	0.018328286	4.5596227	4.5599962	15.080674	71.598167	75.399961	1551.0952	-0.20040891	462.77179	0.65139834	0.066158027	liquid
334.23621	0.020970852	54.542533	0.018334315	4.6066135	4.6069980	15.221397	71.541083	75.404963	1551.4470	-0.20006541	458.46456	0.65198601	0.066049846	liquid
334.85944	0.021578582	54.524466	0.018340390	4.6536074	4.6540031	15.361867	71.483891	75.410069	1551.7811	-0.19972219	454.22392	0.65256744	0.065941464	liquid
335.48267	0.022201227	54.506274	0.018346512	4.7006044	4.7010117	15.502086	71.426593	75.415279	1552.0977	-0.19937922	450.04848	0.65314267	0.065832882	liquid
336.10589	0.022839079	54.487958	0.018352679	4.7476046	4.7480237	15.642053	71.369193	75.420592	1552.3970	-0.19903647	445.93692	0.65371172	0.065724100	liquid
336.72912	0.023492436	54.469518	0.018358892	4.7946080	4.7950393	15.781771	71.311694	75.426009	1552.6790	-0.19869391	441.88792	0.65427461	0.065615118	liquid
337.35235	0.024161600	54.450955	0.018365151	4.8416148	4.8420586	15.921241	71.254099	75.431530	1552.9439	-0.19835153	437.90023	0.65483137	0.065505936	liquid
337.97557	0.024846877	54.432270	0.018371455	4.8886250	4.8890815	16.060463	71.196413	75.437156	1553.1919	-0.19800929	433.97261	0.65538202	0.065396556	liquid
338.59880	0.025548577	54.413463	0.018377805	4.9356387	4.9361082	16.199439	71.138638	75.442886	1553.4231	-0.19766717	430.10384	0.65592659	0.065286976	liquid
339.22203	0.026267016	54.394536	0.018384200	4.9826558	4.9831387	16.338170	71.080778	75.448721	1553.6375	-0.19732514	426.29276	0.65646510	0.065177199	liquid
339.84525	0.027002511	54.375488	0.018390640	5.0296766	5.0301732	16.476657	71.022835	75.454661	1553.8354	-0.19698317	422.53823	0.65699757	0.065067223	liquid
340.46848	0.027755385	54.356321	0.018397125	5.0767010	5.0772116	16.614901	70.964814	75.460708	1554.0168	-0.19664125	418.83912	0.65752403	0.064957049	liquid
341.09171	0.028525967	54.337034	0.018403654	5.1237291	5.1242540	16.752903	70.906718	75.466860	1554.1819	-0.19629935	415.19436	0.65804451	0.064846678	liquid
341.71493	0.029314588	54.317630	0.018410229	5.1707609	5.1713006	16.890664	70.848549	75.473120	1554.3307	-0.19595743	411.60287	0.65855901	0.064736111	liquid
342.33816	0.030121584	54.298107	0.018416848	5.2177966	5.2183514	17.028185	70.790311	75.479487	1554.4635	-0.19561549	408.06362	0.65906757	0.064625346	liquid
342.96139	0.030947295	54.278468	0.018423512	5.2648362	5.2654064	17.165468	70.732007	75.485961	1554.5804	-0.19527348	404.57560	0.65957021	0.064514385	liquid
343.58461	0.031792068	54.258712	0.018430220	5.3118798	5.3124658	17.302512	70.673640	75.492545	1554.6813	-0.19493140	401.13783	0.66006694	0.064403229	liquid
344.20784	0.032656250	54.238840	0.018436973	5.3589274	5.3595295	17.439321	70.615213	75.499238	1554.7666	-0.19458921	397.74934	0.66055779	0.064291876	liquid
344.83107	0.033540197	54.218852	0.018443769	5.4059791	5.4065977	17.575893	70.556730	75.506040	1554.8362	-0.19424690	394.40920	0.66104279	0.064180329	liquid
345.45429	0.034444266	54.198750	0.018450610	5.4530350	5.4536705	17.712232	70.498193	75.512954	1554.8903	-0.19390443	391.11649	0.66152194	0.064068586	liquid
346.07752	0.035368821	54.178533	0.018457495	5.5000951	5.5007479	17.848336	70.439606	75.519979	1554.9290	-0.19356178	387.87031	0.66199527	0.063956649	liquid
346.70075	0.036314229	54.158203	0.018464424	5.5471595	5.5478300	17.984208	70.380970	75.527116	1554.9525	-0.19321894	384.66980	0.66246281	0.063844518	liquid
347.32397	0.037280863	54.137759	0.018471396	5.5942282	5.5949169	18.119849	70.322290	75.534366	1554.9607	-0.19287587	381.51409	0.66292457	0.063732193	liquid
347.94720	0.038269099	54.117202	0.018478413	5.6413014	5.6420086	18.255259	70.263569	75.541730	1554.9539	-0.19253256	378.40236	0.66338057	0.063619675	liquid
348.57043	0.039279318	54.096534	0.018485473	5.6883791	5.6891052	18.390440	70.204808	75.549208	1554.9321	-0.19218898	375.33380	0.66383083	0.063506964	liquid
349.19365	0.040311907	54.075753	0.018492577	5.7354613	5.7362068	18.525393	70.146011	75.556802	1554.8955	-0.19184512	372.30761	0.66427537	0.063394060	liquid
349.81688	0.041367257	54.054861	0.018499724	5.7825482	5.7833135	18.660118	70.087181	75.564512	1554.8441	-0.19150094	369.32300	0.66471422	0.063280963	liquid
350.44011	0.042445763	54.033858	0.018506915	5.8296398	5.8304254	18.794617	70.028321	75.572340	1554.7781	-0.19115642	366.37924	0.66514738	0.063167675	liquid
351.06333	0.043547825	54.012745	0.018514149	5.8767362	5.8775424	18.928891	69.969433	75.580286	1554.6975	-0.19081155	363.47556	0.66557488	0.063054195	liquid
351.68656	0.044673848	53.991522	0.018521426	5.9238374	5.9246648	19.062940	69.910520	75.588351	1554.6024	-0.19046630	360.61126	0.66599673	0.062940524	liquid
352.30979	0.045824242	53.970190	0.018528747	5.9709435	5.9717926	19.196766	69.851585	75.596536	1554.4930	-0.19012065	357.78562	0.66641296	0.062826661	liquid
352.93301	0.046999422	53.948749	0.018536111	6.0180546	6.0189258	19.330369	69.792630	75.604842	1554.3693	-0.18977458	354.99795	0.66682359	0.062712609	liquid
353.55624	0.048199806	53.927199	0.018543518	6.0651708	6.0660646	19.463752	69.733658	75.613270	1554.2315	-0.18942807	352.24757	0.66722863	0.062598366	liquid
354.17947	0.049425820	53.905541	0.018550969	6.1122921	6.1132090	19.596913	69.674672	75.621821	1554.0795	-0.18908109	349.53382	0.66762809	0.062483934	liquid
354.80269	0.050677891	53.883775	0.018558462	6.1594186	6.1603591	19.729856	69.615674	75.630496	1553.9136	-0.18873362	346.85606	0.66802200	0.062369312	liquid
355.42592	0.051956455	53.861902	0.018565999	6.2065504	6.2075150	19.862580	69.556667	75.639296	1553.7338	-0.18838565	344.21365	0.66841038	0.062254501	liquid
356.04915	0.053261949	53.839923	0.018573578	6.2536876	6.2546768	19.995086	69.497653	75.648222	1553.5403	-0.18803715	341.60597	0.66879325	0.062139501	liquid
356.67237	0.054594818	53.817836	0.018581200	6.3008301	6.3018446	20.127377	69.438635	75.657276	1553.3330	-0.18768810	339.03243	0.66917061	0.062024314	liquid
357.29560	0.055955511	53.795644	0.018588866	6.3479782	6.3490184	20.259451	69.379615	75.666457	1553.1120	-0.18733848	336.49242	0.66954249	0.061908938	liquid
357.91883	0.057344480	53.773346	0.018596574	6.3951319	6.3961983	20.391311	69.320596	75.675768	1552.8776	-0.18698827	333.98537	0.66990891	0.061793375	liquid
358.54205	0.058762185	53.750943	0.018604325	6.4422912	6.4433844	20.522958	69.261579	75.685209	1552.6297	-0.18663745	331.51070	0.67026988	0.061677625	liquid
359.16528	0.060209089	53.728435	0.018612119	6.4894562	6.4905769	20.654391	69.202568	75.694781	1552.3684	-0.18628599	329.06788	0.67062541	0.061561688	liquid
359.78851	0.061685661	53.705822	0.018619955	6.5366271	6.5377757	20.785614	69.143565	75.704485	1552.0938	-0.18593389	326.65635	0.67097554	0.061445564	liquid
360.41173	0.063192375	53.683105	0.018627834	6.5838038	6.5849810	20.916625	69.084572	75.714323	1551.8061	-0.18558111	324.27558	0.67132027	0.061329255	liquid
361.03496	0.064729710	53.660285	0.018635756	6.6309866	6.6321929	21.047427	69.025591	75.724296	1551.5052	-0.18522764	321.92506	0.67165962	0.061212760	liquid
361.65819	0.066298149	53.637361	0.018643721	6.6781753	6.6794114	21.178020	68.966624	75.734404	1551.1913	-0.18487346	319.60426	0.67199360	0.061096080	liquid
362.28141	0.067898181	53.614333	0.018651729	6.7253702	6.7266366	21.308405	68.907674	75.744650	1550.8644	-0.18451854	317.31271	0.67232224	0.060979215	liquid
362.90464	0.069530300	53.591203	0.018659779	6.7725713	6.7738687	21.438583	68.848742	75.755033	1550.5246	-0.18416288	315.04990	0.67264555	0.060862165	liquid
363.52787	0.071195005	53.567970	0.018667872	6.8197787	6.8211078	21.568555	68.789832	75.765555	1550.1720	-0.18380644	312.81536	0.67296354	0.060744932	liquid
364.15109	0.072892802	53.544636	0.018676007	6.8669925	6.8683538	21.698322	68.730945	75.776217	1549.8067	-0.18344921	310.60862	0.67327624	0.060627514	liquid
364.77432	0.074624199	53.521199	0.018684185	6.9142127	6.9156070	21.827885	68.672082	75.787021	1549.4288	-0.18309116	308.42922	0.67358365	0.060509914	liquid
365.39755	0.076389710	53.497661	0.018692406	6.9614395	6.9628674	21.957245	68.613247	75.797967	1549.0382	-0.18273229	306.27672	0.67388580	0.060392130	liquid
366.02077	0.078189856	53.474021	0.018700670	7.0086728	7.0101350	22.086402	68.554441	75.809056	1548.6352	-0.18237256	304.15067	0.67418270	0.060274165	liquid
366.64400	0.080025162	53.450281	0.018708976	7.0559129	7.0574101	22.215358	68.495666	75.820291	1548.2197	-0.18201196	302.05064	0.67447437	0.060156017	liquid
367.26723	0.081896158	53.426440	0.018717324	7.1031598	7.1046927	22.344113	68.436925	75.831671	1547.7919	-0.18165048	299.97621	0.67476082	0.060037687	liquid
367.89045	0.083803379	53.402498	0.018725716	7.1504135	7.1519828	22.472669	68.378218	75.843198	1547.3517	-0.18128808	297.92697	0.67504206	0.059919176	liquid
368.51368	0.085747367	53.378457	0.018734150	7.1976743	7.1992807	22.601027	68.319548	75.854873	1546.8994	-0.18092475	295.90252	0.67531812	0.059800484	liquid
369.13691	0.087728666	53.354316	0.018742626	7.2449420	7.2465863	22.729186	68.260916	75.866697	1546.4348	-0.18056048	293.90244	0.67558901	0.059681611	liquid
369.76013	0.089747829	53.330075	0.018751146	7.2922169	7.2938998	22.857149	68.202326	75.878672	1545.9582	-0.18019524	291.92636	0.67585474	0.059562559	liquid
370.38336	0.091805412	53.305735	0.018759708	7.3394990	7.3412213	22.984916	68.143777	75.890798	1545.4696	-0.17982901	289.97390	0.67611534	0.059443326	liquid
371.00659	0.093901977	53.281296	0.018768312	7.3867885	7.3885509	23.112488	68.085273	75.903077	1544.9690	-0.17946177	288.04467	0.67637081	0.059323915	liquid
371.62981	0.096038091	53.256758	0.018776960	7.4340853	7.4358886	23.239866	68.026815	75.915510	1544.4565	-0.17909351	286.13831	0.67662117	0.059204324	liquid
